token,text,easting,southing,kind,signed,access,industry,city,country,show,checked,remark,ref
,Aurora,-36783,-5216,,,,,,US-CO,,2023-03,,
,Berthoud Pass,-41339,-6936,,,,,,US-CO,,2023-04,,
co_bristol,Bristol,-28041,2844,,,,,,US-CO,,2023-03,,
,Camp Bird,-53104,2657,,,,,,US-CO,,2023-04,Camp Bird Mine,
co_cheyennew,Cheyenne Wells,-28040,466,,,,,,US-CO,,2023-03,,
co_cortez,Cortez,-55685,5209,,,,,,US-CO,,2023-04,,
co_craig,Craig,-49117,-11522,,,,,,US-CO,,2023-03,,
co_dinosaur,Dinosaur,-55191,-11072,,,,,,US-CO,,2023-03,,
co_divide,Divide,-40723,-2652,,,,,,US-CO,,2023-04,,
co_eads,Eads,-30693,1537,,,,,,US-CO,,2023-03,,
co_eaglevail,Eagle - Vail,,,,,,,,US-CO,,,,
co_estespk,Estes Park,,,,,,,,US-CO,,,,
co_fairplay,Fairplay,-43210,-4006,,,,,,US-CO,,2023-04,,
,Fruita,-54774,-4884,,,,,,US-CO,,2023-04,,
co_glenwood,Glenwood Springs,,,,,,,,US-CO,,,,
co_granada,Granada,-28075,4158,,,,,,US-CO,,2023-03,,
co_granby,Granby,-43720,-8039,,,,,,US-CO,,2023-03,,
co_grandlake,Grand Lake,-42880,-8920,,,,,,US-CO,,2023-03,,
co_johnsonvi,Johnson Village,-43915,-1123,,,,,,US-CO,,2023-04,,
co_julesburg,Julesburg,-26914,-12476,,,,,,US-CO,,2023-03,,
co_kitcarson,Kit Carson,-31006,-251,,,,,,US-CO,,2023-03,,
co_lajunta,La Junta,-33473,4400,,,,,,US-CO,,2023-03,,
,La Veta Pass,-41734,5664,,,,,,US-CO,,2023-04,,
co_lasanimas,Las Animas,-32069,3957,,,,,,US-CO,,2023-04,,
co_limon,Limon,-33227,-2398,,,,,,US-CO,,2023-03,,
co_loma,Loma,-55935,-5603,,,,,,US-CO,,2023-03,,
co_loveland,Loveland,,,,,,,,US-CO,,,,
co_maybell,Maybell,-51721,-12012,,,,,,US-CO,,2023-03,,
co_monarchpa,Monarch Pass,-46304,973,,,,,,US-CO,,2023-04,,
co_montevist,Monte Vista,-46355,5398,,,,,,US-CO,,2023-04,,
co_ouray,Ouray,-51877,1766,,,,,,US-CO,,2023-04,,
co_pagosaspg,Pagosa Springs,-49731,6878,,,,,,US-CO,,2023-04,,
co_parkdale,Parkdale,-41113,989,,,,,,US-CO,,2023-04,,
co_ponchaspg,Poncha Springs,-44581,267,,,,,,US-CO,,2023-04,,
co_redcliff,Red Cliff,,,,,,,,US-CO,,,,
,Red Mountain Pass,-52296,4118,,,,,,US-CO,,2023-04,,
co_saguache,Saguache,-44997,3089,,,,,,US-CO,,2023-04,,
co_sapinero,Sapinero,-49553,486,,,,,,US-CO,,2023-04,,
co_sheridanl,Sheridan Lake,-27331,1970,,,,,,US-CO,,2023-03,,
co_springfie,Springfield,,,,,no,,,US-CO,no,2023-04,,
,Starkville,-38219,8099,,,,,,US-CO,,2023-04,,
co_trinidad,Trinidad,-37918,7243,,,,,,US-CO,,2023-03,,
co_walsenbur,Walsenburg,-39425,5762,,,,,,US-CO,,2023-04,,
co_wiggins,Wiggins,-35441,-7884,,,,,,US-CO,,2023-03,,
,Wild Horse,-31542,-524,,,,,,US-CO,,2023-03,,
co_winterpk,Winter Park,-43032,-7590,,,,,,US-CO,,2023-04,,
co_wray,Wray,-26809,-7006,,,,,,US-CO,,2023-03,,
