token,text,easting,southing,kind,signed,access,industry,city,country,show,checked,remark,ref
can_usa_93,Canada / USA Border,,,unnamed,,,,,CA,no,,,
,Apgar,-67091,-61608,,,,,kalispell,US-MT,yes,,,
,Black Eagle,-57830,-55150,hood,all,yes,no,great_falls,US-MT,yes,2026-05,,
,Bonner,-66147,-50453,,,,,missoula,US-MT,yes,,,
,Evergreen,-69120,-60153,,,,,kalispell,US-MT,yes,,,
,Glacier National Park,-65800,-61650,nature,all,yes,yes,kalispell,US-MT,yes,2026-06,,
mt_loganpass,Logan Pass,,,pass,all,yes,no,,US-MT,yes,2026-06,6646ft,
mt_lolohotsp,Lolo Hot Springs,,,,,,,,US-MT,no,,maybe more of a business name than a real place name,
mt_lookout_p,Lookout Pass,,,pass,,,,,US-MT,,,4725ft,
,Lost Trail Pass,-70543,-45311,pass,,,,,US-MT,yes,,,
,Marias Pass,-65384,-58771,pass,,,,,US-MT,yes,,5216ft,
,Milltown,-66598,-50313,,,,,,US-MT,yes,,,
,Seville Housing,-61681,-60562,,,,,,US-MT,no,,not sure what this even is,
,Silver Bow,-68040,-45880,exit,all,no,yes,butte,US-MT,yes,2026-06,,
