token,text,easting,southing,kind,signed,access,industry,city,country,show,checked,remark,ref
,Akela,-55728,34153,,,,,,US-NM,,2023-04,,
,Augustina Pass,-49738,34018,,,,,,US-NM,,2023-04,,
nm_bloomfiel,Bloomfield,-53282,9011,,,,,,US-NM,,2023-04,,
nm_carlscav,Carlsbad Caverns,,,,,no,,,US-NM,no,,,
nm_carrizozo,Carrizozo,-46001,27769,,,,,,US-NM,,2023-04,,
nm_clayton,Clayton,,,,,,,,US-NM,,,,
nm_corona,Corona,-44192,24137,,,,,,US-NM,,2023-04,,
nm_desmoines,Des Moines,,,,,,,,US-NM,,,,
nm_eaglenest,Eagle Nest,-42881,11839,,,,,,US-NM,,2023-04,,
nm_elida,Elida,-35373,26931,,,,,,US-NM,,2023-04,,
nm_fortsumne,Fort Sumner,-38155,23745,,,,,,US-NM,,2023-04,,
azconmut4c,Four Corners,-58817,6087,,,,,,US-AZ,,2023-04,,
,La Mesilla,-52125,35483,,,,,,US-NM,,2023-04,,
nm_logan,Logan,,,,,,,,US-NM,,,,
nm_lordsburg,Lordsburg,-60705,33424,,,,,,US-NM,,2023-04,,
nm_mountpark,Mountain Park,-43754,32147,,,,,,US-NM,,2023-04,,
nm_quemado,Quemado,-57913,22239,,,,,,US-NM,,2023-04,,
nm_riogranbr,Rio Grande Gorge Bridge,,,,,,,,US-NM,no,2023-04,,
nm_santarosa,Santa Rosa,-39847,21291,,,,,,US-NM,,2023-04,,
nm_shiprock,Shiprock,-57002,8425,,,,,,US-NM,,2023-04,,
nm_skycity,Sky City,-53057,18532,,,,,,US-NM,,2023-04,,
nm_texico,Texico,-31755,24919,,,,,,US-NM,,2023-04,,
nm_tierra,Tierra Amarilla,-47366,9374,,,,,,US-NM,,2023-04,,
nm_tularosa,Tularosa,-47185,30299,,,,,,US-NM,,2023-04,,
nm_vaughn,Vaughn,-42399,22866,,,,,,US-NM,,2023-04,,
nm_whitesand,White Sands Missile Range,,,,,,,,US-NM,no,2023-04,,
nm_whitescit,Whites City,,,,,,,,US-NM,,,,
