token,text,easting,southing,kind,signed,access,industry,city,country,show,checked,remark,ref
,Basque,-89896,-31188,hamlet,,,,,US-OR,yes,,,
,Blue Mountain Pass,-89926,-30898,pass,,,,,US-OR,yes,,5293ft,
or_brothers,Brothers,,,hamlet,,,,,US-OR,yes,,,
or_burnsjct,Burns Junction,,,junction,,,,,US-OR,yes,,,
,Crater Lake National Park,-106200,-37700,nature,,,,,US-OR,yes,,,
or_lakeofthe,Lake of the Woods,-107547,-34675,hamlet,,,,,US-OR,yes,,,
,Mount Vernon,-92233,-42490,hamlet,,,,,US-OR,yes,,hamlet only in contrast to John Day,
,North Bend,-113358,-43098,,,,,,US-OR,no,,name almost invisible in-game,
or_onabeach,Ona Beach,-111785,-46664,nature,,,,,US-OR,yes,,,
or_porti5n,Portland,,,city,,,,portland,US-OR,no,,,
or_porti5s,Portland,,,city,,,,portland,US-OR,no,,,
or_porti84w,Portland,,,city,,,,portland,US-OR,no,,,
or_porlus30e,Portland,,,city,,,,portland,US-OR,no,,,
or_riley,Riley,,,hamlet,,,,,US-OR,yes,,,
or_rome,Rome,,,hamlet,,,,,US-OR,yes,,,
,Springfield,-106884,-44029,,,,,eugene,US-OR,yes,,,
or_toledo,Toledo,-109175,-49609,,,,,,US-OR,yes,,,
or_williamet,Williamette Pass,,,pass,remote,yes,no,,US-OR,yes,2026-06,"ATS uses the spelling ""Williamette"" as of 1.58, although the real-life pass is spelled ""Willamette""",
