token,text,easting,southing,kind,signed,access,industry,city,country,show,checked,remark,ref
tx_abileni20,Abilene,,,city,,,,abilene,US-TX,no,,,
,Anthony,-50760,36965,,,,,,US-TX,yes,,,
,Boca Chica,-4650,73400,,,,,brownsville,US-TX,no,,not characteristic,
,Bolivar,7580,53230,town,some,yes,yes,galveston,US-TX,yes,2026-06,"name deduced from ferry and hist marker",
,Cline,-21522,54653,,,,,,US-TX,yes,,,
,Glenrio,-32002,20858,,,,,,US-TX,yes,,,
,Hillsboro,-6160,38430,,,,,,US-TX,no,,barely anything visible,
,Indian Springs,6930,46060,,,,,,US-TX,yes,,,
tx_longvie80,Longview,,,city,,,,longview_tx,US-TX,no,,,
tx_lubbi27,Lubbock,,,city,,,,lubbock,US-TX,no,,,
tx_lubbus62,Lubbock,,,city,,,,lubbock,US-TX,no,,,
tx_mineola,Mineola,,,,,,,,US-TX,no,,,
,Mont Belvieu,5970,51010,,,,,,US-TX,yes,,,
,North Beach,-5558,62804,,,,,,US-TX,yes,,,
,Progress,-29900,26130,,,,,lubbock,US-TX,yes,,,
tx_sananti10,San Antonio,,,city,,,,san_antonio,US-TX,no,,,
,Texarkana,9048,30642,city,,,,texarkana,US-TX,no,,,
,Tivoli,-3873,59095,,,,,,US-TX,yes,,,
,Tye,-19380,36673,,,,,,US-TX,yes,,,
,Cumby,3985,32203,unnamed,,,,,US-TX,no,,outside playable area,
