token,text,easting,southing,kind,signed,access,industry,city,country,show,checked,remark,ref
ut_bluff,Bluff,-60158,4761,,,,,,US-UT,,2023-05,,
,Brigham City,-66690,-20596,,,,,,US-UT,,2023-05,,
,Cove Fort,-71894,-5488,,,,,,US-UT,,2023-05,,
ut_i70xus191,Crescent Junction,-59750,-4915,junction,,,,,US-UT,yes,2023-05,~,
ut_delta,Delta,,,,,,,,US-UT,,2023-05,,
ut_duchense,Duchesne,-61122,-12298,,,,,,US-UT,,2023-05,name typo: QA ID 105798,
,Enoch,-73954,-2556,,,,,,US-UT,,2023-05,,
ut_flaminggo,Flaming Gorge,-56686,-15284,dam,some,,,,US-UT,,2023-05,,
ut_ftduchesn,Fort Duchesne,-58892,-12610,,some,,,,US-UT,,2023-05,,
ut_gardencit,Garden City,-63480,-22125,,,,,,US-UT,,2023-05,,
ut_hebercity,Heber City,-64997,-14035,,,,,,US-UT,,2023-05,,
,Herriman,-68203,-14920,,some,,,,US-UT,,2023-05,Herriman City Hall,
,Hildale,-75364,3797,,,,,,US-UT,,2023-05,,
ut_holden,Holden,,,,,no,,,US-UT,no,2023-05,,
,"Hole N""The Rock",-58481,-968,historic,,,,,US-UT,,2023-05,commercial tourist attraction--formerly a place of residence,
ut_hurricane,Hurricane,-75798,1949,,,,,,US-UT,,2023-05,,
ut_kanab,Kanab,,,,,,,,US-UT,,,,
ut_knolls,Knolls,,,,,no,,,US-UT,no,2025-02,nothing there (not in ATS nor IRL),
ut_laketown,Laketown,-63040,-20442,,,,,,US-UT,,2023-05,,
ut_mexicanha,Mexican Hat,-61925,5084,,,,,,US-UT,,2023-05,,
ut_modena,Modena,-79332,-2317,,,,,,US-UT,,2023-05,,
ut_monticell,Monticello,-58690,1712,,,,,,US-UT,,2023-05,,
ut_monumentv,Monument Valley,,,,,,,,US-UT,no,2023-05,,
,Oak City,-70107,-9117,,,no,,,US-UT,,2023-05,,
,Orem City,-66608,-13773,,,,,,US-UT,,2023-05,,
ut_panguitch,Panguitch,,,,,,,,US-UT,,,,
ut_parkcity,Park City,,,,,,,,US-UT,no,2023-05,,
,Pelican Lake,-58585,-11301,,,,,,US-UT,,2023-05,not entirely clear what the name refers to,
,Perry,-66753,-20272,,,,,,US-UT,,2023-05,,
,Potash,-60170,-2108,,,,,,US-UT,,2023-05,,
ut_richfield,Richfield,,,,,,,,US-UT,,,,
,Roy,-67617,-18272,,,,,,US-UT,,2023-05,,
ut_stgeorge,Saint George,,,city,,,,st_george,US-UT,no,2023-05,,
ut_scipio,Scipio,-69193,-8147,,,,,,US-UT,,2023-05,,
,Soldier Summit,-64410,-11213,,,,,,US-UT,,2023-05,,
ut_spanishfo,Spanish Fork,-66894,-11563,,,,,,US-UT,,2023-05,,
ut_tremonton,Tremonton,-67432,-22146,,,,,,US-UT,,2023-05,,
nv_wendover,Wendover,-75164,-17738,,,,,,US-UT,,2023-05,,
