token,"editor name","default name","name variants",easting,southing,"node uid","search radius","distance offset"
aaa_test,aaa_test,aaa_test,,,,,-1,0
ab_cardston,"AB Cardston",Cardston,,-63929.38,-62208.91,5042249139146331602,-1,34
ab_lethbridg,"AB Lethbridge",Lethbridge,,-59707.74,-59323.31,4818120137419907066,-1,100
ar_ftsmith,"AR Fort Smith","Ft. Smith","Fort Smith",4874.85,19218.43,5460906693905743872,-1,24
artx_texarka,"AR TX Texarkana",Texarkana,,9293.41,30841.01,,1200,3
az_ashfork,"AZ Ash Fork","Ash Fork",,-75348.08,14090.68,545516628407943171,-1,0
az_az89az260,"AZ AZ-89 x AZ-260","Jct SR 260","Jct SR 89",-75625.42,18030.92,,25,0
az_bitterspr,"AZ Bitter Springs","Bitter Springs",,-70266.26,7582.85,475387452403875888,-1,0
az_cameron,"AZ Cameron",Cameron,,-70067.45,11626.94,3218295188409876806,25,0
az_campverde,"AZ Camp Verde","Camp Verde",,-74072.16,19203.14,445726449380569164,-1,0
az_chinle,"AZ Chinle",Chinle,,-61218.43,9397.93,445324175377571740,-1,0
az_clifton,"AZ Clifton",Clifton,,-62796.35,28049.26,2827612423522690016,-1,0
azconmut4c,"AZ CO NM UT 4 Corners","Four Corners",,-58816.78,6086.95,4010251046107414530,-1,0
az_coloradoc,"AZ Colorado City","Colorado City",,-75217.59,4093.80,3376480228503257090,-1,1
az_ehrenberg,"AZ Ehrenberg",Ehrenberg,,-85742.08,21293.84,436325798700585607,-1,0
az_flagstaff,"AZ Flagstaff",Flagstaff,,-71738.99,14686.33,445661950206421077,-1,0
az_fthuachuc,"AZ Fort Huachuca","Ft Huachuca",,-68808.06,36305.33,444966506361720956,-1,0
az_fredonia,"AZ Fredonia",Fredonia,,-74573.41,5224.55,3336421582964850691,-1,0
az_gila,"AZ Gila",Gila,,-88244.16,25420.55,2800893089853214313,-1,5
az_globe,"AZ Globe",Globe,,-69384.30,25930.90,445656264522010136,-1,0
az_grandcany,"AZ Grand Canyon Village","Grand Canyon",,-73174.89,10477.26,445602264921807831,-1,0
az_holbrook,"AZ Holbrook",Holbrook,,-64877.36,18244.18,445668125137309194,-1,0
az_i10az303,"AZ I-10 x AZ-303",Jct,,-78772.86,23575.27,575467018732969392,50,0
az_i10az77,"AZ I-10 x AZ-77",Jct,,-72134.81,31069.46,,50,0
az_i10az90,"AZ I-10 x AZ-90","Jct I-10",Jct,-68613.84,33997.17,,50,0
az_i10i17,"AZ I-10 x I-17",Jct,,-75906.70,24134.94,,50,0
az_i10i19,"AZ I-10 x I-19",Jct,,-71708.31,32361.40,,120,0
az_i10us60,"AZ I-10 x US-60",Jct,,-74748.25,24351.94,,100,0
az_i17az260,"AZ I-17 x AZ-260","Jct I-17",,-74448.64,19133.45,445726449833558006,-1,0
az_i17az303,"AZ I-17 x AZ-303",Jct,,-75183.16,22541.30,575467019298149728,50,0
az_i17i40,"AZ I-17 x I-40",Jct,,-72321.42,15215.21,,50,0
az_i40az89,"AZ I-40 x AZ-89","Jct I-40",,-75179.44,14366.30,445617721189993836,-1,0
az_i40us180w,"AZ I-40 x US-180 West",Jct,,-71072.50,14751.66,3570042719151783939,-1,-5
az_i40us191,"AZ I-40 x US-191",Jct,"Jct I 40",-61740.99,16579.73,,100,0
az_i40us93e,"AZ I-40 x US-93 East",Jct,,-80159.98,13676.68,575467021340779880,50,0
az_i8az85,"AZ I-8 x AZ-85",Jct,,-77243.19,27285.81,,240,0
az_i8i10,"AZ I-8 x I-10",Jct,,-74309.88,27854.85,,100,0
az_kayenta,"AZ Kayenta",Kayenta,,-64180.21,7209.02,445305808587464854,-1,0
az_kingman,"AZ Kingman",Kingman,,-82257.84,13756.65,447127940589887567,-1,0
az_lakepowel,"AZ Lake Powell","Lake Powell",,-69703.30,4723.03,3464169836871024640,-1,0
az_mexicanwa,"AZ Mexican Water","Mexican Water",,-60634.42,6610.30,,60,0
az_morenci,"AZ Morenci",Morenci,,-62934.96,28818.05,2827612423367503416,-1,0
aznmi10sl,"AZ NM I-10 Border","State Line",,-61949.79,33571.24,583284617411690520,-1,0
az_nogales,"AZ Nogales",Nogales,,-72081.25,37261.17,444934438336535216,-1,0
az_nv_hoover,"AZ NV Hoover Dam","Hoover Dam",,-83175.41,8548.77,,140,0
az_nv_i15_sl,"AZ NV I-15 Border","AZ State Line","NV State Line",-81710.91,5154.34,3329112355149709312,-1,0
az_page,"AZ Page",Page,,-69064.58,5477.85,445292979698409160,-1,0
az_peachspgs,"AZ Peach Spgs","Peach Spgs",,-80695.00,12609.60,447127942159608288,-1,0
az_phoenix,"AZ Phoenix",Phoenix,,-75419.08,24220.80,444559154531765742,-1,0
az_phoenix93,"AZ Phoenix US-93 US-60E",Phoenix,,-77183.78,21869.93,575467018979382023,-1,26
az_prescott,"AZ Prescott",Prescott,,-75648.05,18026.24,445726453153348661,-1,10
az_provinggn,"AZ Proving Ground","Proving Grnd",,-84424.11,24609.33,2800893088490067433,-1,5
